term	gobpid	organism	query_lists_id	direction	p.adjusted	oddsratio	x_labels	Odds_Ratio_Score
cellular response to abiotic stimulus	GO:0071214	S. cerevisiae	AMB only	Up	0.000803819481690596	2.80366269165247	S. cerevisiae AMB only	2.80366269165247
cellular response to acid chemical	GO:0071229	S. cerevisiae	AMB only	Up	0.0431362331785758	3.38771036172545	S. cerevisiae AMB only	3.38771036172545
cellular response to alkaline pH	GO:0071469	S. cerevisiae	AMB only	Up	0.010358373946387	13.1954887218045	S. cerevisiae AMB only	13.1954887218045
cellular response to chemical stimulus	GO:0070887	C. neoformans	AMB only	Up	0.00598637369995609	1.5330363611274	C. neoformans AMB only	1.5330363611274
cellular response to chemical stimulus	GO:0070887	C. neoformans	AMB + LF	Up	0.00634016729528081	1.51721193774983	C. neoformans AMB + LF	1.51721193774983
cellular response to chemical stimulus	GO:0070887	S. cerevisiae	AMB only	Up	2.46143251119995e-05	1.82968262716421	S. cerevisiae AMB only	1.82968262716421
cellular response to chemical stimulus	GO:0070887	S. cerevisiae	AMB + LF	Down	0.00718633079683798	1.56018249317887	S. cerevisiae AMB + LF	-1.56018249317887
cellular response to desiccation	GO:0071465	S. cerevisiae	AMB only	Up	0.0136339711016929	Inf	S. cerevisiae AMB only	Inf
cellular response to endogenous stimulus	GO:0071495	S. cerevisiae	AMB + LF	Up	0.0107728493000821	4.09088457389428	S. cerevisiae AMB + LF	4.09088457389428
cellular response to environmental stimulus	GO:0104004	S. cerevisiae	AMB only	Up	0.000803819481690596	2.80366269165247	S. cerevisiae AMB only	2.80366269165247
cellular response to external stimulus	GO:0071496	S. cerevisiae	AMB only	Up	6.92794678067215e-07	2.89985080193958	S. cerevisiae AMB only	2.89985080193958
cellular response to extracellular stimulus	GO:0031668	S. cerevisiae	AMB only	Up	6.92794678067215e-07	2.89985080193958	S. cerevisiae AMB only	2.89985080193958
cellular response to misfolded protein	GO:0071218	S. cerevisiae	AMB + LF	Down	0.0127633977958372	4.40771812080537	S. cerevisiae AMB + LF	-4.40771812080537
cellular response to nitrogen compound	GO:1901699	S. cerevisiae	AMB + LF	Up	0.00294496560164471	5.95043103448276	S. cerevisiae AMB + LF	5.95043103448276
cellular response to nutrient	GO:0031670	S. cerevisiae	AMB only	Up	0.00169085167022441	2.81567440993017	S. cerevisiae AMB only	2.81567440993017
cellular response to nutrient levels	GO:0031669	S. cerevisiae	AMB only	Up	3.87326081244471e-06	2.8116869037294	S. cerevisiae AMB only	2.8116869037294
cellular response to organonitrogen compound	GO:0071417	S. cerevisiae	AMB + LF	Up	0.00891374349632076	5.34962325080732	S. cerevisiae AMB + LF	5.34962325080732
cellular response to osmotic stress	GO:0071470	S. cerevisiae	AMB only	Up	0.00239007871873165	3.04747036409822	S. cerevisiae AMB only	3.04747036409822
cellular response to oxidative stress	GO:0034599	C. neoformans	AMB only	Up	1.79361578404336e-06	3.16667918152806	C. neoformans AMB only	3.16667918152806
cellular response to oxidative stress	GO:0034599	C. neoformans	AMB + LF	Up	8.55854971365905e-07	3.19216783216783	C. neoformans AMB + LF	3.19216783216783
cellular response to oxidative stress	GO:0034599	S. cerevisiae	AMB + LF	Down	0.00499877742897953	2.19623087033036	S. cerevisiae AMB + LF	-2.19623087033036
cellular response to oxygen-containing compound	GO:1901701	C. neoformans	AMB only	Up	0.0261862426815967	2.28954081632653	C. neoformans AMB only	2.28954081632653
cellular response to oxygen-containing compound	GO:1901701	C. neoformans	AMB + LF	Up	0.0189195586330104	2.37283384988546	C. neoformans AMB + LF	2.37283384988546
cellular response to oxygen-containing compound	GO:1901701	S. cerevisiae	AMB only	Up	0.00663420026787644	2.61286397218601	S. cerevisiae AMB only	2.61286397218601
cellular response to pH	GO:0071467	S. cerevisiae	AMB only	Up	0.00970894203427494	7.04535564853556	S. cerevisiae AMB only	7.04535564853556
cellular response to reactive oxygen species	GO:0034614	C. neoformans	AMB + LF	Up	0.0347466705875486	3.55809076419763	C. neoformans AMB + LF	3.55809076419763
cellular response to salt stress	GO:0071472	S. cerevisiae	AMB only	Up	8.81133213201757e-05	9.57885154061625	S. cerevisiae AMB only	9.57885154061625
cellular response to starvation	GO:0009267	S. cerevisiae	AMB only	Up	0.00335276156846002	2.83222693032015	S. cerevisiae AMB only	2.83222693032015
cellular response to stimulus	GO:0051716	S. cerevisiae	AMB + LF	Down	1.25311200066099e-06	1.57580625004111	S. cerevisiae AMB + LF	-1.57580625004111
cellular response to stress	GO:0033554	S. cerevisiae	AMB + LF	Down	5.19863806004893e-08	1.78871597998218	S. cerevisiae AMB + LF	-1.78871597998218
cellular response to toxic substance	GO:0097237	C. neoformans	AMB only	Up	3.35281834524742e-07	4.02207880434783	C. neoformans AMB only	4.02207880434783
cellular response to toxic substance	GO:0097237	C. neoformans	AMB + LF	Up	1.44490934757431e-06	3.71169560776302	C. neoformans AMB + LF	3.71169560776302
cellular response to toxic substance	GO:0097237	S. cerevisiae	AMB only	Up	0.0456289159455638	2.20819256756757	S. cerevisiae AMB only	2.20819256756757
cellular transition metal ion homeostasis	GO:0046916	S. cerevisiae	AMB only	Up	0.000803819481690596	2.80366269165247	S. cerevisiae AMB only	2.80366269165247
chaperone cofactor-dependent protein refolding	GO:0051085	C. neoformans	AMB + LF	Up	0.000391290707920868	14.0377632534495	C. neoformans AMB + LF	14.0377632534495
chaperone-mediated protein folding	GO:0061077	C. neoformans	AMB + LF	Up	0.000165936829057195	9.14735883424408	C. neoformans AMB + LF	9.14735883424408
chemical homeostasis	GO:0048878	C. neoformans	AMB only	Up	0.0283642798935947	1.70557480314961	C. neoformans AMB only	1.70557480314961
chemical homeostasis	GO:0048878	C. neoformans	AMB + LF	Up	0.0390385237617534	1.66669504351116	C. neoformans AMB + LF	1.66669504351116
chemical homeostasis	GO:0048878	S. cerevisiae	AMB only	Up	2.25513497494439e-06	2.34856783008606	S. cerevisiae AMB only	2.34856783008606
chorismate biosynthetic process	GO:0009423	S. cerevisiae	AMB only	Up	0.0136339711016929	Inf	S. cerevisiae AMB only	Inf
chorismate biosynthetic process	GO:0009423	S. cerevisiae	AMB + LF	Up	0.00652354321592164	Inf	S. cerevisiae AMB + LF	Inf
chorismate metabolic process	GO:0046417	S. cerevisiae	AMB only	Up	0.0425022413325544	17.5679733110926	S. cerevisiae AMB only	17.5679733110926
chorismate metabolic process	GO:0046417	S. cerevisiae	AMB + LF	Up	0.0223978789574016	23.6873661670236	S. cerevisiae AMB + LF	23.6873661670236
chromatin assembly	GO:0031497	C. neoformans	AMB + LF	Down	0.0364613452465541	3.92424242424242	C. neoformans AMB + LF	-3.92424242424242
chromatin assembly or disassembly	GO:0006333	C. neoformans	AMB + LF	Down	0.0123709425947032	3.9400260756193	C. neoformans AMB + LF	-3.9400260756193
chromatin organization	GO:0006325	C. neoformans	AMB + LF	Down	0.0346667578629764	2.0695652173913	C. neoformans AMB + LF	-2.0695652173913
chromosome condensation	GO:0030261	C. neoformans	AMB only	Down	0.0347108147414537	7.61682242990654	C. neoformans AMB only	-7.61682242990654
chromosome condensation	GO:0030261	C. neoformans	AMB + LF	Down	0.0151743062775493	8.175	C. neoformans AMB + LF	-8.175
chromosome localization	GO:0050000	C. neoformans	AMB only	Down	0.0071971040160477	6.63798760481225	C. neoformans AMB only	-6.63798760481225
chromosome localization	GO:0050000	C. neoformans	AMB + LF	Down	9.55719664121454e-05	9.76068376068376	C. neoformans AMB + LF	-9.76068376068376
chromosome organization	GO:0051276	C. neoformans	AMB + LF	Down	0.00197126937828484	2.26966629621842	C. neoformans AMB + LF	-2.26966629621842
chromosome organization	GO:0051276	S. cerevisiae	AMB only	Down	0.00306587417368485	1.42175724103983	S. cerevisiae AMB only	-1.42175724103983
chromosome organization involved in meiotic cell cycle	GO:0070192	C. neoformans	AMB + LF	Down	0.0226034530996625	5.29493621955934	C. neoformans AMB + LF	-5.29493621955934
chromosome segregation	GO:0007059	C. neoformans	AMB only	Down	0.000835183701017445	3.54465709728868	C. neoformans AMB only	-3.54465709728868
chromosome segregation	GO:0007059	C. neoformans	AMB + LF	Down	1.79631024410161e-05	4.55112622184445	C. neoformans AMB + LF	-4.55112622184445
chromosome separation	GO:0051304	C. neoformans	AMB only	Down	0.0071971040160477	5.04617781239568	C. neoformans AMB only	-5.04617781239568
chromosome separation	GO:0051304	C. neoformans	AMB + LF	Down	0.00058584928673257	6.1426116838488	C. neoformans AMB + LF	-6.1426116838488
citrate metabolic process	GO:0006101	C. neoformans	AMB only	Up	2.7576029183607e-08	13.782347588717	C. neoformans AMB only	13.782347588717
citrate metabolic process	GO:0006101	C. neoformans	AMB + LF	Up	3.98828127309369e-07	11.5319817696055	C. neoformans AMB + LF	11.5319817696055
cleavage involved in rRNA processing	GO:0000469	S. cerevisiae	AMB only	Down	2.84145249330417e-25	13.1270274743462	S. cerevisiae AMB only	-13.1270274743462
coenzyme biosynthetic process	GO:0009108	C. neoformans	AMB only	Up	0.00084858023983551	2.44402087749613	C. neoformans AMB only	2.44402087749613
coenzyme biosynthetic process	GO:0009108	C. neoformans	AMB + LF	Up	0.0122910907107039	2.03807390817469	C. neoformans AMB + LF	2.03807390817469
coenzyme biosynthetic process	GO:0009108	S. cerevisiae	AMB + LF	Down	0.0196157308195947	1.86722891566265	S. cerevisiae AMB + LF	-1.86722891566265
coenzyme metabolic process	GO:0006732	C. neoformans	AMB only	Up	1.28600924967798e-08	2.9969111969112	C. neoformans AMB only	2.9969111969112
coenzyme metabolic process	GO:0006732	C. neoformans	AMB + LF	Up	1.46423830722007e-06	2.5499775557713	C. neoformans AMB + LF	2.5499775557713
coenzyme metabolic process	GO:0006732	S. cerevisiae	AMB only	Up	0.0119865478022739	1.70444371854433	S. cerevisiae AMB only	1.70444371854433
coenzyme metabolic process	GO:0006732	S. cerevisiae	AMB + LF	Down	0.00333900625996259	1.88667498440424	S. cerevisiae AMB + LF	-1.88667498440424
cofactor biosynthetic process	GO:0051188	C. neoformans	AMB only	Up	3.40224725351418e-06	2.85057471264368	C. neoformans AMB only	2.85057471264368
cofactor biosynthetic process	GO:0051188	C. neoformans	AMB + LF	Up	0.000208134555405958	2.37115987460815	C. neoformans AMB + LF	2.37115987460815
cofactor biosynthetic process	GO:0051188	S. cerevisiae	AMB + LF	Down	0.0486070904674207	1.67933092132453	S. cerevisiae AMB + LF	-1.67933092132453
cofactor catabolic process	GO:0051187	C. neoformans	AMB only	Up	0.0183764231948093	3.67868852459016	C. neoformans AMB only	3.67868852459016
cofactor catabolic process	GO:0051187	C. neoformans	AMB + LF	Up	0.000521052908588855	5.76222244349298	C. neoformans AMB + LF	5.76222244349298
cofactor metabolic process	GO:0051186	C. neoformans	AMB only	Up	6.14117612443855e-14	3.19718844984802	C. neoformans AMB only	3.19718844984802
cofactor metabolic process	GO:0051186	C. neoformans	AMB + LF	Up	9.80282352147654e-12	2.86961701113825	C. neoformans AMB + LF	2.86961701113825
cofactor metabolic process	GO:0051186	S. cerevisiae	AMB only	Up	2.86615788867071e-05	2.00942208935072	S. cerevisiae AMB only	2.00942208935072
cofactor metabolic process	GO:0051186	S. cerevisiae	AMB + LF	Down	0.0019491969177402	1.79022316289778	S. cerevisiae AMB + LF	-1.79022316289778
cofactor transport	GO:0051181	C. neoformans	AMB only	Up	0.00822008214454756	4.01818181818182	C. neoformans AMB only	4.01818181818182
copper ion transport	GO:0006825	S. cerevisiae	AMB only	Up	0.0357252176133811	3.96256281407035	S. cerevisiae AMB only	3.96256281407035
cotranslational protein targeting to membrane	GO:0006613	S. cerevisiae	AMB only	Down	0.0206941709962723	3.87377173091459	S. cerevisiae AMB only	-3.87377173091459
CUT catabolic process	GO:0071034	S. cerevisiae	AMB only	Down	0.028091152464698	5.15837104072398	S. cerevisiae AMB only	-5.15837104072398
CUT metabolic process	GO:0071043	S. cerevisiae	AMB only	Down	0.028091152464698	5.15837104072398	S. cerevisiae AMB only	-5.15837104072398
cysteine biosynthetic process	GO:0019344	C. neoformans	AMB only	Up	7.49351305363461e-05	13.8332282471627	C. neoformans AMB only	13.8332282471627
cysteine biosynthetic process	GO:0019344	C. neoformans	AMB + LF	Up	0.0391581377903732	4.79751552795031	C. neoformans AMB + LF	4.79751552795031
cysteine biosynthetic process from serine	GO:0006535	C. neoformans	AMB only	Up	0.0022226820504793	Inf	C. neoformans AMB only	Inf
cysteine metabolic process	GO:0006534	C. neoformans	AMB only	Up	0.0029434357353796	5.5249684741488	C. neoformans AMB only	5.5249684741488
cytoplasm protein quality control by the ubiquitin-proteasome system	GO:0071629	S. cerevisiae	AMB + LF	Down	0.0362337880997506	8.78631051752922	S. cerevisiae AMB + LF	-8.78631051752922
cytoplasmic translation	GO:0002181	S. cerevisiae	AMB + LF	Up	7.05954178346893e-63	13.6830039525692	S. cerevisiae AMB + LF	13.6830039525692
cytoplasmic translational initiation	GO:0002183	S. cerevisiae	AMB only	Down	0.00200204887063327	5.81845688350983	S. cerevisiae AMB only	-5.81845688350983
cytoskeleton organization	GO:0007010	C. neoformans	AMB only	Down	0.0191272239683423	2.47662798194713	C. neoformans AMB only	-2.47662798194713
cytoskeleton organization	GO:0007010	C. neoformans	AMB + LF	Down	0.00497892845561437	2.67356614246068	C. neoformans AMB + LF	-2.67356614246068
cytoskeleton-dependent intracellular transport	GO:0030705	C. neoformans	AMB only	Down	0.0383066448916193	7.10747663551402	C. neoformans AMB only	-7.10747663551402
D-xylose catabolic process	GO:0042843	S. cerevisiae	AMB + LF	Down	0.0235933070724125	Inf	S. cerevisiae AMB + LF	-Inf
dephosphorylation	GO:0016311	S. cerevisiae	AMB only	Up	0.0487488190545417	1.68537339055794	S. cerevisiae AMB only	1.68537339055794
detoxification	GO:0098754	C. neoformans	AMB only	Up	4.24387449662229e-08	4.8534632034632	C. neoformans AMB only	4.8534632034632
detoxification	GO:0098754	C. neoformans	AMB + LF	Up	1.6777959097264e-07	4.55222896333421	C. neoformans AMB + LF	4.55222896333421
detoxification	GO:0098754	S. cerevisiae	AMB only	Up	0.0349883227136092	2.64747474747475	S. cerevisiae AMB only	2.64747474747475
detoxification of cadmium ion	GO:0071585	C. neoformans	AMB only	Up	0.0222988757959759	7.49812030075188	C. neoformans AMB only	7.49812030075188
detoxification of inorganic compound	GO:0061687	C. neoformans	AMB only	Up	0.0354814603210166	5.99699248120301	C. neoformans AMB only	5.99699248120301
developmental process	GO:0032502	S. cerevisiae	AMB only	Up	0.00384997781640208	1.59592079291975	S. cerevisiae AMB only	1.59592079291975
dicarboxylic acid biosynthetic process	GO:0043650	S. cerevisiae	AMB only	Up	0.00999885147665426	4.07207905444681	S. cerevisiae AMB only	4.07207905444681
dicarboxylic acid biosynthetic process	GO:0043650	S. cerevisiae	AMB + LF	Up	0.00128795061273109	5.50157833527164	S. cerevisiae AMB + LF	5.50157833527164
dicarboxylic acid metabolic process	GO:0043648	C. neoformans	AMB only	Up	0.000333422215471753	3.22126779108408	C. neoformans AMB only	3.22126779108408
dicarboxylic acid metabolic process	GO:0043648	C. neoformans	AMB + LF	Up	0.0162440330869369	2.36221444741716	C. neoformans AMB + LF	2.36221444741716
dicarboxylic acid metabolic process	GO:0043648	S. cerevisiae	AMB only	Up	0.000602094005366314	3.72527918781726	S. cerevisiae AMB only	3.72527918781726
dicarboxylic acid metabolic process	GO:0043648	S. cerevisiae	AMB + LF	Up	0.00671482966453901	3.1826464208243	S. cerevisiae AMB + LF	3.1826464208243
dicarboxylic acid transport	GO:0006835	C. neoformans	AMB only	Up	0.00822008214454756	4.01818181818182	C. neoformans AMB only	4.01818181818182
disaccharide biosynthetic process	GO:0046351	S. cerevisiae	AMB only	Up	0.010358373946387	13.1954887218045	S. cerevisiae AMB only	13.1954887218045
disaccharide metabolic process	GO:0005984	C. neoformans	AMB + LF	Up	0.03794481988399	3.82055852644088	C. neoformans AMB + LF	3.82055852644088
divalent inorganic cation transport	GO:0072511	C. neoformans	AMB only	Up	0.00290046885052023	3.19732484076433	C. neoformans AMB only	3.19732484076433
divalent inorganic cation transport	GO:0072511	C. neoformans	AMB + LF	Up	0.0390366417615858	2.44891882311237	C. neoformans AMB + LF	2.44891882311237
divalent metal ion transport	GO:0070838	C. neoformans	AMB only	Up	0.00733057438773726	3.05885823198403	C. neoformans AMB only	3.05885823198403
DNA biosynthetic process	GO:0071897	S. cerevisiae	AMB only	Down	0.0264403776121956	1.82611284073275	S. cerevisiae AMB only	-1.82611284073275
DNA conformation change	GO:0071103	C. neoformans	AMB + LF	Down	0.0240824045126548	2.88125634314406	C. neoformans AMB + LF	-2.88125634314406
DNA conformation change	GO:0071103	S. cerevisiae	AMB only	Down	0.0233038883333785	1.82984682213077	S. cerevisiae AMB only	-1.82984682213077
DNA metabolic process	GO:0006259	S. cerevisiae	AMB only	Down	0.0297796070025932	1.34077763037045	S. cerevisiae AMB only	-1.34077763037045
DNA metabolic process	GO:0006259	S. cerevisiae	AMB + LF	Down	0.0383620381583745	1.369018710982	S. cerevisiae AMB + LF	-1.369018710982
DNA packaging	GO:0006323	C. neoformans	AMB + LF	Down	0.00747161843871781	4.30959164292498	C. neoformans AMB + LF	-4.30959164292498
DNA packaging	GO:0006323	S. cerevisiae	AMB only	Down	0.013260741509687	2.41773352299668	S. cerevisiae AMB only	-2.41773352299668
DNA replication	GO:0006260	S. cerevisiae	AMB only	Down	0.00135656920955692	1.98240214118434	S. cerevisiae AMB only	-1.98240214118434
DNA strand elongation	GO:0022616	S. cerevisiae	AMB only	Down	0.0111917488618674	3.00055221923103	S. cerevisiae AMB only	-3.00055221923103
DNA strand elongation involved in DNA replication	GO:0006271	S. cerevisiae	AMB only	Down	0.00410130217071741	3.47636174719258	S. cerevisiae AMB only	-3.47636174719258
DNA-dependent DNA replication	GO:0006261	S. cerevisiae	AMB only	Down	0.000419600518851548	2.18328141225338	S. cerevisiae AMB only	-2.18328141225338
DNA-templated transcription, termination	GO:0006353	S. cerevisiae	AMB only	Down	0.0255508744808805	2.63893697798026	S. cerevisiae AMB only	-2.63893697798026
double-strand break repair	GO:0006302	S. cerevisiae	AMB only	Down	0.0483458511150229	1.67622276511941	S. cerevisiae AMB only	-1.67622276511941
drug catabolic process	GO:0042737	C. neoformans	AMB only	Up	4.91664508901127e-05	3.97244062901155	C. neoformans AMB only	3.97244062901155
drug catabolic process	GO:0042737	C. neoformans	AMB + LF	Up	1.2240020456179e-06	4.75377381836179	C. neoformans AMB + LF	4.75377381836179
drug metabolic process	GO:0017144	C. neoformans	AMB only	Up	2.74401310222911e-09	2.55460987672547	C. neoformans AMB only	2.55460987672547
drug metabolic process	GO:0017144	C. neoformans	AMB + LF	Up	1.35514854710284e-07	2.2977130977131	C. neoformans AMB + LF	2.2977130977131
drug metabolic process	GO:0017144	S. cerevisiae	AMB only	Up	0.000127136531294921	1.85883292757152	S. cerevisiae AMB only	1.85883292757152
drug metabolic process	GO:0017144	S. cerevisiae	AMB + LF	Up	0.0019684852725494	1.75729442970822	S. cerevisiae AMB + LF	1.75729442970822
drug transmembrane transport	GO:0006855	C. neoformans	AMB only	Up	0.0367000874884721	2.11501915708812	C. neoformans AMB only	2.11501915708812
drug transmembrane transport	GO:0006855	S. cerevisiae	AMB + LF	Up	0.00671482966453901	3.1826464208243	S. cerevisiae AMB + LF	3.1826464208243
endocytosis	GO:0006897	S. cerevisiae	AMB only	Up	1.68327848586914e-05	2.70476222163073	S. cerevisiae AMB only	2.70476222163073
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000480	S. cerevisiae	AMB only	Down	1.29118850849824e-14	28.5111111111111	S. cerevisiae AMB only	-28.5111111111111
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000447	S. cerevisiae	AMB only	Down	5.6913129935374e-14	12.5533627265729	S. cerevisiae AMB only	-12.5533627265729
endonucleolytic cleavage involved in rRNA processing	GO:0000478	S. cerevisiae	AMB only	Down	1.86917449861803e-15	10.4024767801858	S. cerevisiae AMB only	-10.4024767801858
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000479	S. cerevisiae	AMB only	Down	1.86917449861803e-15	10.4024767801858	S. cerevisiae AMB only	-10.4024767801858
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000461	S. cerevisiae	AMB + LF	Up	0.00122696874429524	Inf	S. cerevisiae AMB + LF	Inf
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000472	S. cerevisiae	AMB only	Down	1.61591959129484e-14	23.6088957055215	S. cerevisiae AMB only	-23.6088957055215
endoplasmic reticulum membrane organization	GO:0090158	C. neoformans	AMB + LF	Up	0.0189195586330104	Inf	C. neoformans AMB + LF	Inf
endoplasmic reticulum to cytosol transport	GO:1903513	S. cerevisiae	AMB + LF	Down	0.0022641627749476	30.7894736842105	S. cerevisiae AMB + LF	-30.7894736842105
energy derivation by oxidation of organic compounds	GO:0015980	C. neoformans	AMB only	Up	0.000126830170652825	2.48247541931752	C. neoformans AMB only	2.48247541931752
energy derivation by oxidation of organic compounds	GO:0015980	C. neoformans	AMB + LF	Up	1.77714994075139e-05	2.62033718846718	C. neoformans AMB + LF	2.62033718846718
energy derivation by oxidation of organic compounds	GO:0015980	S. cerevisiae	AMB only	Up	0.000757242826568011	2.07940300359935	S. cerevisiae AMB only	2.07940300359935
energy reserve metabolic process	GO:0006112	S. cerevisiae	AMB only	Up	0.00108006520418975	3.98506329113924	S. cerevisiae AMB only	3.98506329113924
ER to Golgi vesicle-mediated transport	GO:0006888	S. cerevisiae	AMB + LF	Down	0.028038089993923	2.04468614860438	S. cerevisiae AMB + LF	-2.04468614860438
ER-associated misfolded protein catabolic process	GO:0071712	S. cerevisiae	AMB + LF	Down	0.0239410831855449	7.69298245614035	S. cerevisiae AMB + LF	-7.69298245614035
ERAD pathway	GO:0036503	S. cerevisiae	AMB + LF	Down	1.55971092382074e-10	6.64668380462725	S. cerevisiae AMB + LF	-6.64668380462725
ergosterol biosynthetic process	GO:0006696	C. neoformans	AMB + LF	Down	0.0181247825536919	5.73869346733668	C. neoformans AMB + LF	-5.73869346733668
ergosterol biosynthetic process	GO:0006696	S. cerevisiae	AMB only	Down	0.000508777155593611	4.72252955852045	S. cerevisiae AMB only	-4.72252955852045
ergosterol biosynthetic process	GO:0006696	S. cerevisiae	AMB + LF	Down	0.00521023221537272	4.13950798990748	S. cerevisiae AMB + LF	-4.13950798990748
ergosterol metabolic process	GO:0008204	C. neoformans	AMB + LF	Down	0.0291582807396001	4.91457286432161	C. neoformans AMB + LF	-4.91457286432161
ergosterol metabolic process	GO:0008204	S. cerevisiae	AMB only	Down	0.000536676576943802	4.37689969604863	S. cerevisiae AMB only	-4.37689969604863
ergosterol metabolic process	GO:0008204	S. cerevisiae	AMB + LF	Down	0.00166175061573638	4.42207245155855	S. cerevisiae AMB + LF	-4.42207245155855
establishment of chromosome localization	GO:0051303	C. neoformans	AMB only	Down	0.0418669634073414	6.66179906542056	C. neoformans AMB only	-6.66179906542056
establishment of chromosome localization	GO:0051303	C. neoformans	AMB + LF	Down	0.000111788650178179	14.3037875829754	C. neoformans AMB + LF	-14.3037875829754
establishment of localization	GO:0051234	S. cerevisiae	AMB only	Up	8.44207022480979e-08	1.57005100030644	S. cerevisiae AMB only	1.57005100030644
establishment of localization in cell	GO:0051649	S. cerevisiae	AMB only	Down	0.00808534987516169	1.3663898622378	S. cerevisiae AMB only	-1.3663898622378
establishment of localization in cell	GO:0051649	S. cerevisiae	AMB + LF	Down	0.0216550621883899	1.36440802853017	S. cerevisiae AMB + LF	-1.36440802853017
establishment of organelle localization	GO:0051656	C. neoformans	AMB only	Down	0.000835183701017445	4.08682692307692	C. neoformans AMB only	-4.08682692307692
establishment of organelle localization	GO:0051656	C. neoformans	AMB + LF	Down	0.000228413335968171	4.11336898395722	C. neoformans AMB + LF	-4.11336898395722
establishment of organelle localization	GO:0051656	S. cerevisiae	AMB only	Down	0.000306994673518041	2.272330379059	S. cerevisiae AMB only	-2.272330379059
establishment of protein localization	GO:0045184	S. cerevisiae	AMB + LF	Down	0.00166175061573638	1.48564660943161	S. cerevisiae AMB + LF	-1.48564660943161
establishment of protein localization to endoplasmic reticulum	GO:0072599	S. cerevisiae	AMB only	Down	0.0102512491886473	2.91337386018237	S. cerevisiae AMB only	-2.91337386018237
establishment of protein localization to endoplasmic reticulum	GO:0072599	S. cerevisiae	AMB + LF	Down	0.00697893972086903	3.31492411467116	S. cerevisiae AMB + LF	-3.31492411467116
establishment of protein localization to membrane	GO:0090150	S. cerevisiae	AMB + LF	Down	0.00150590273846033	2.50524400684932	S. cerevisiae AMB + LF	-2.50524400684932
establishment of protein localization to mitochondrion	GO:0072655	S. cerevisiae	AMB + LF	Down	0.00142942489595768	2.96145124716553	S. cerevisiae AMB + LF	-2.96145124716553
establishment of protein localization to organelle	GO:0072594	S. cerevisiae	AMB + LF	Down	0.0444954257723262	1.51624116025411	S. cerevisiae AMB + LF	-1.51624116025411
establishment of RNA localization	GO:0051236	S. cerevisiae	AMB only	Down	1.86351684898599e-13	3.61772664552085	S. cerevisiae AMB only	-3.61772664552085
establishment of RNA localization	GO:0051236	S. cerevisiae	AMB + LF	Up	0.011926878826207	1.86564458486559	S. cerevisiae AMB + LF	1.86564458486559
establishment of vesicle localization	GO:0051650	C. neoformans	AMB only	Down	0.0280649379253201	6.75908080059303	C. neoformans AMB only	-6.75908080059303
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	GO:0043928	S. cerevisiae	AMB only	Down	0.043679975182867	3.86943396226415	S. cerevisiae AMB only	-3.86943396226415
exonucleolytic trimming involved in rRNA processing	GO:0000459	S. cerevisiae	AMB only	Down	1.69045132032903e-07	20.7708649468892	S. cerevisiae AMB only	-20.7708649468892
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000467	S. cerevisiae	AMB only	Down	6.51168669757751e-07	19.4579226686884	S. cerevisiae AMB only	-19.4579226686884
fatty acid catabolic process	GO:0009062	C. neoformans	AMB only	Up	0.00685340759818172	4.60182849936948	C. neoformans AMB only	4.60182849936948
fatty acid catabolic process	GO:0009062	C. neoformans	AMB + LF	Up	0.0245009287617204	3.85559796437659	C. neoformans AMB + LF	3.85559796437659
fatty acid metabolic process	GO:0006631	C. neoformans	AMB only	Up	0.0397269178707143	2.14177160225792	C. neoformans AMB only	2.14177160225792
fatty acid metabolic process	GO:0006631	C. neoformans	AMB + LF	Up	0.0328484823960971	2.20931692616775	C. neoformans AMB + LF	2.20931692616775
fermentation	GO:0006113	C. neoformans	AMB only	Up	0.013932833229503	7.00526976160602	C. neoformans AMB only	7.00526976160602
fermentation	GO:0006113	C. neoformans	AMB + LF	Up	0.0383557484074171	5.87361563517915	C. neoformans AMB + LF	5.87361563517915
fluid transport	GO:0042044	S. cerevisiae	AMB only	Up	0.0136339711016929	Inf	S. cerevisiae AMB only	Inf
formation of cytoplasmic translation initiation complex	GO:0001732	S. cerevisiae	AMB only	Down	0.0188178605455047	Inf	S. cerevisiae AMB only	-Inf
fungal-type cell wall biogenesis	GO:0009272	S. cerevisiae	AMB only	Up	0.0408800759195926	1.92746050032916	S. cerevisiae AMB only	1.92746050032916
gamma-aminobutyric acid metabolic process	GO:0009448	C. neoformans	AMB only	Up	0.0286958445254287	19.96	C. neoformans AMB only	19.96
